time,reader,port,beam,epc,crc,rssi,session,target,power,field,zone,
8/11/15 10:21:18.399,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:36:20.074,192.168.225.66,1,3,AD9425001119159354000053,10D,49,S0,A,270,2,1,
8/11/15 10:21:18.410,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:18.549,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:18.560,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,50,S0,A,270,3,1,
8/11/15 10:36:20.235,192.168.225.66,1,3,3014025512745D8D15000012,234B,48,S0,A,270,2,1,
8/11/15 10:21:18.589,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:21:18.600,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:21:18.600,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,47,S0,A,270,3,1,
8/11/15 10:36:20.345,192.168.225.66,2,0,E280681000000039129592FA,B112,43,S0,A,270,3,1,
8/11/15 10:21:18.989,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,47,S0,A,270,3,1,
8/11/15 10:21:18.991,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:19.029,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:36:20.775,192.168.225.66,2,0,E280681000000039129592FA,B112,43,S0,A,270,3,1,
8/11/15 10:21:19.140,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,47,S0,A,270,3,1,
8/11/15 10:21:19.141,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,49,S0,A,270,3,1,
8/11/15 10:21:19.142,192.168.225.67,2,3,FFFF22222222222222220065,803B,42,S0,A,270,3,1,
8/11/15 10:21:19.190,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:21:19.569,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,48,S0,A,270,3,1,
8/11/15 10:21:19.610,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:19.639,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10028,24BE,43,S0,A,270,2,1,
8/11/15 10:21:19.710,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
